pdb	Hchain	Lchain	model	antigen_chain	antigen_type	antigen_het_name	antigen_name	short_header	date	compound	organism	heavy_species	light_species	antigen_species	authors	resolution	method	r_free	r_factor	scfv	engineered	heavy_subclass	light_subclass	light_ctype	affinity	delta_g	affinity_method	temperature	pmid
7s0e	H	L	0	A	protein	NA	spike glycoprotein	VIRAL PROTEIN/IMMUNE SYSTEM	10/06/21	Structure of the SARS-CoV-2 S1 subunit in complex with antibody N-612-004	SEVERE ACUTE RESPIRATORY SYNDROME CORONAVIRUS 2; HOMO SAPIENS	homo sapiens	homo sapiens	severe acute respiratory syndrome coronavirus2 	Barnes, C.O., Bjorkman, P.J.	4.9	ELECTRON MICROSCOPY	NA	NA	False	True	IGHV3	IGKV1	Kappa	None	None	None	None	None
7p40	F	B	0	A	protein	NA	spike glycoprotein	VIRAL PROTEIN	10/13/21	P5C3 is a potent fab neutralizer	SEVERE ACUTE RESPIRATORY SYNDROME CORONAVIRUS 2; HOMO SAPIENS	homo sapiens	homo sapiens	severe acute respiratory syndrome coronavirus2 	perez, L.	3.5	ELECTRON MICROSCOPY	NA	NA	False	True	IGHV1	IGKV3	Kappa	None	None	None	None	None
7p40	I	H	0	G	protein	NA	spike glycoprotein	VIRAL PROTEIN	10/13/21	P5C3 is a potent fab neutralizer	SEVERE ACUTE RESPIRATORY SYNDROME CORONAVIRUS 2; HOMO SAPIENS	homo sapiens	homo sapiens	severe acute respiratory syndrome coronavirus2 	perez, L.	3.5	ELECTRON MICROSCOPY	NA	NA	False	True	IGHV1	IGKV3	Kappa	None	None	None	None	None
7p40	C	D	0	E	protein	NA	spike glycoprotein	VIRAL PROTEIN	10/13/21	P5C3 is a potent fab neutralizer	SEVERE ACUTE RESPIRATORY SYNDROME CORONAVIRUS 2; HOMO SAPIENS	homo sapiens	homo sapiens	severe acute respiratory syndrome coronavirus2 	perez, L.	3.5	ELECTRON MICROSCOPY	NA	NA	False	True	IGHV1	IGKV3	Kappa	None	None	None	None	None
7kxj	H	L	0	A	protein	NA	spike glycoprotein	VIRAL PROTEIN/Immune System	12/04/20	SARS-CoV-2 spike protein in complex with Fab 15033-7, 3-""up"", asymmetric	SEVERE ACUTE RESPIRATORY SYNDROME CORONAVIRUS 2; HOMO SAPIENS	homo sapiens	homo sapiens	severe acute respiratory syndrome coronavirus2 	Li, Z., Rini, J.	6.4	ELECTRON MICROSCOPY	NA	NA	False	True	IGHV3	IGKV1	Kappa	None	None	None	None	None
7kxj	J	N	0	C	protein	NA	spike glycoprotein	VIRAL PROTEIN/Immune System	12/04/20	SARS-CoV-2 spike protein in complex with Fab 15033-7, 3-""up"", asymmetric	SEVERE ACUTE RESPIRATORY SYNDROME CORONAVIRUS 2; HOMO SAPIENS	homo sapiens	homo sapiens	severe acute respiratory syndrome coronavirus2 	Li, Z., Rini, J.	6.4	ELECTRON MICROSCOPY	NA	NA	False	True	IGHV3	IGKV1	Kappa	None	None	None	None	None
7kxj	I	M	0	B	protein	NA	spike glycoprotein	VIRAL PROTEIN/Immune System	12/04/20	SARS-CoV-2 spike protein in complex with Fab 15033-7, 3-""up"", asymmetric	SEVERE ACUTE RESPIRATORY SYNDROME CORONAVIRUS 2; HOMO SAPIENS	homo sapiens	homo sapiens	severe acute respiratory syndrome coronavirus2 	Li, Z., Rini, J.	6.4	ELECTRON MICROSCOPY	NA	NA	False	True	IGHV3	IGKV1	Kappa	None	None	None	None	None
7kxk	H	L	0	A	protein	NA	spike glycoprotein	VIRAL PROTEIN/Immune System	12/04/20	SARS-CoV-2 spike protein in complex with Fab 15033-7, 2-""up""-1-""down"" conformation	SEVERE ACUTE RESPIRATORY SYNDROME CORONAVIRUS 2; HOMO SAPIENS	homo sapiens	homo sapiens	severe acute respiratory syndrome coronavirus2 	Li, Z., Rini, J.	5	ELECTRON MICROSCOPY	NA	NA	False	True	IGHV3	IGKV1	Kappa	None	None	None	None	None
7kxk	J	N	0	C	protein	NA	spike glycoprotein	VIRAL PROTEIN/Immune System	12/04/20	SARS-CoV-2 spike protein in complex with Fab 15033-7, 2-""up""-1-""down"" conformation	SEVERE ACUTE RESPIRATORY SYNDROME CORONAVIRUS 2; HOMO SAPIENS	homo sapiens	homo sapiens	severe acute respiratory syndrome coronavirus2 	Li, Z., Rini, J.	5	ELECTRON MICROSCOPY	NA	NA	False	True	IGHV3	IGKV1	Kappa	None	None	None	None	None
7kxk	I	M	0	B	protein	NA	spike glycoprotein	VIRAL PROTEIN/Immune System	12/04/20	SARS-CoV-2 spike protein in complex with Fab 15033-7, 2-""up""-1-""down"" conformation	SEVERE ACUTE RESPIRATORY SYNDROME CORONAVIRUS 2; HOMO SAPIENS	homo sapiens	homo sapiens	severe acute respiratory syndrome coronavirus2 	Li, Z., Rini, J.	5	ELECTRON MICROSCOPY	NA	NA	False	True	IGHV3	IGKV1	Kappa	None	None	None	None	None
6wps	F	G	0	E	protein	NA	sars-cov-2 spike glycoprotein	VIRAL PROTEIN/IMMUNE SYSTEM	04/27/20	Structure of the SARS-CoV-2 spike glycoprotein in complex with the S309 neutralizing antibody Fab fragment	SEVERE ACUTE RESPIRATORY SYNDROME CORONAVIRUS 2; HOMO SAPIENS	homo sapiens	homo sapiens	severe acute respiratory syndrome coronavirus2 	Pinto, D., Park, Y.J., Beltramello, M., Walls, A.C., Tortorici, M.A., Bianchi, S., Jaconi, S., Culap, K., Zatta, F., De Marco, A., Peter, A., Guarino, B., Spreafico, R., Cameroni, E., Case, J.B., Chen, R.E., Havenar-Daughton, C., Snell, G., Virgin, H.W., Lanzavecchia, A., Diamond, M.S., Fink, K., Veesler, D., Corti, D., Seattle Structural Genomics Center for Infectious Disease (SSGCID)	3.1	ELECTRON MICROSCOPY	NA	NA	False	True	IGHV1	IGKV3	Kappa	None	None	None	None	None
6wps	H	L	0	A	protein	NA	sars-cov-2 spike glycoprotein	VIRAL PROTEIN/IMMUNE SYSTEM	04/27/20	Structure of the SARS-CoV-2 spike glycoprotein in complex with the S309 neutralizing antibody Fab fragment	SEVERE ACUTE RESPIRATORY SYNDROME CORONAVIRUS 2; HOMO SAPIENS	homo sapiens	homo sapiens	severe acute respiratory syndrome coronavirus2 	Pinto, D., Park, Y.J., Beltramello, M., Walls, A.C., Tortorici, M.A., Bianchi, S., Jaconi, S., Culap, K., Zatta, F., De Marco, A., Peter, A., Guarino, B., Spreafico, R., Cameroni, E., Case, J.B., Chen, R.E., Havenar-Daughton, C., Snell, G., Virgin, H.W., Lanzavecchia, A., Diamond, M.S., Fink, K., Veesler, D., Corti, D., Seattle Structural Genomics Center for Infectious Disease (SSGCID)	3.1	ELECTRON MICROSCOPY	NA	NA	False	True	IGHV1	IGKV3	Kappa	None	None	None	None	None
6wps	C	D	0	B	protein	NA	sars-cov-2 spike glycoprotein	VIRAL PROTEIN/IMMUNE SYSTEM	04/27/20	Structure of the SARS-CoV-2 spike glycoprotein in complex with the S309 neutralizing antibody Fab fragment	SEVERE ACUTE RESPIRATORY SYNDROME CORONAVIRUS 2; HOMO SAPIENS	homo sapiens	homo sapiens	severe acute respiratory syndrome coronavirus2 	Pinto, D., Park, Y.J., Beltramello, M., Walls, A.C., Tortorici, M.A., Bianchi, S., Jaconi, S., Culap, K., Zatta, F., De Marco, A., Peter, A., Guarino, B., Spreafico, R., Cameroni, E., Case, J.B., Chen, R.E., Havenar-Daughton, C., Snell, G., Virgin, H.W., Lanzavecchia, A., Diamond, M.S., Fink, K., Veesler, D., Corti, D., Seattle Structural Genomics Center for Infectious Disease (SSGCID)	3.1	ELECTRON MICROSCOPY	NA	NA	False	True	IGHV1	IGKV3	Kappa	None	None	None	None	None
6wpt	H	L	0	C	protein	NA	sars-cov-2 spike glycoprotein	VIRAL PROTEIN/IMMUNE SYSTEM	04/27/20	Structure of the SARS-CoV-2 spike glycoprotein in complex with the S309 neutralizing antibody Fab fragment (open state)	SEVERE ACUTE RESPIRATORY SYNDROME CORONAVIRUS 2; HOMO SAPIENS	homo sapiens	homo sapiens	severe acute respiratory syndrome coronavirus2 	Pinto, D., Park, Y.J., Beltramello, M., Walls, A.C., Tortorici, M.A., Bianchi, S., Jaconi, S., Culap, K., Zatta, F., De Marco, A., Peter, A., Guarino, B., Spreafico, R., Cameroni, E., Case, J.B., Chen, R.E., Havenar-Daughton, C., Snell, G., Virgin, H.W., Lanzavecchia, A., Diamond, M.S., Fink, K., Veesler, D., Corti, D., Seattle Structural Genomics Center for Infectious Disease (SSGCID)	3.7	ELECTRON MICROSCOPY	NA	NA	False	True	IGHV1	IGKV3	Kappa	None	None	None	None	None
6wpt	D	E	0	A	protein	NA	sars-cov-2 spike glycoprotein	VIRAL PROTEIN/IMMUNE SYSTEM	04/27/20	Structure of the SARS-CoV-2 spike glycoprotein in complex with the S309 neutralizing antibody Fab fragment (open state)	SEVERE ACUTE RESPIRATORY SYNDROME CORONAVIRUS 2; HOMO SAPIENS	homo sapiens	homo sapiens	severe acute respiratory syndrome coronavirus2 	Pinto, D., Park, Y.J., Beltramello, M., Walls, A.C., Tortorici, M.A., Bianchi, S., Jaconi, S., Culap, K., Zatta, F., De Marco, A., Peter, A., Guarino, B., Spreafico, R., Cameroni, E., Case, J.B., Chen, R.E., Havenar-Daughton, C., Snell, G., Virgin, H.W., Lanzavecchia, A., Diamond, M.S., Fink, K., Veesler, D., Corti, D., Seattle Structural Genomics Center for Infectious Disease (SSGCID)	3.7	ELECTRON MICROSCOPY	NA	NA	False	True	IGHV1	IGKV3	Kappa	None	None	None	None	None
7enf	P	O	0	B	protein	NA	spike glycoprotein	VIRAL PROTEIN	04/06/22	Cryo-EM structure of the SARS-CoV-2 S-6P in complex with Fab30	SEVERE ACUTE RESPIRATORY SYNDROME CORONAVIRUS 2; HOMO SAPIENS	homo sapiens	homo sapiens	severe acute respiratory syndrome coronavirus2 	Wang, X.F., Zhu, Y.Q.	2.76	ELECTRON MICROSCOPY	NA	NA	False	True	IGHV3	IGKV4	Kappa	None	None	None	None	None
7eng	H	L	0	B	protein	NA	spike glycoprotein	VIRAL PROTEIN	04/06/22	Cryo-EM structure of the SARS-CoV-2 S-6P in complex with Fab30 (local refinement of the RBD and Fab30)	HOMO SAPIENS; SEVERE ACUTE RESPIRATORY SYNDROME CORONAVIRUS 2	homo sapiens	homo sapiens	severe acute respiratory syndrome coronavirus2 	Wang, X.F., Zhu, Y.Q.	3.59	ELECTRON MICROSCOPY	NA	NA	False	True	IGHV3	IGKV4	Kappa	None	None	None	None	None
7tp4	H	L	0	Z	protein	NA	spike protein s1	VIRAL PROTEIN/IMMUNE SYSTEM	02/23/22	Crystal structure of SARS-CoV-2 receptor binding domain in complex with neutralizing antibody K398.22	SEVERE ACUTE RESPIRATORY SYNDROME CORONAVIRUS 2; MACACA MULATTA	macaca mulatta	macaca mulatta	severe acute respiratory syndrome coronavirus2 	Yuan, M., Zhu, X., Wilson, I.A.	1.95	X-RAY DIFFRACTION	0.231	0.205	False	True	IGHV3	IGLV2	Lambda	None	None	None	None	None
7bz5	H	L	0	A	protein	NA	spike protein s1	VIRAL PROTEIN/IMMUNE SYSTEM	04/26/20	Structure of COVID-19 virus spike receptor-binding domain complexed with a neutralizing antibody	SEVERE ACUTE RESPIRATORY SYNDROME CORONAVIRUS 2; HOMO SAPIENS	homo sapiens	homo sapiens	severe acute respiratory syndrome coronavirus2 	Wu, Y., Qi, J., Gao, F.	1.84	X-RAY DIFFRACTION	0.191	0.167	False	True	IGHV3	IGKV1	Kappa	None	None	None	None	None
7tp3	H	L	0	Z	protein	NA	spike protein s1	IMMUNE SYSTEM	02/23/22	Crystal structure of SARS-CoV-2 receptor binding domain in complex with neutralizing antibody K288.2	SEVERE ACUTE RESPIRATORY SYNDROME CORONAVIRUS 2; MACACA MULATTA	macaca mulatta	macaca mulatta	severe acute respiratory syndrome coronavirus2 	Yuan, M., Zhu, X., Wilson, I.A.	2.33	X-RAY DIFFRACTION	0.231	0.185	False	True	IGHV3	IGKV3	Kappa	None	None	None	None	None
7k8u	H	L	0	A | B	protein | protein	NA | NA	spike glycoprotein | spike glycoprotein	VIRAL PROTEIN/IMMUNE SYSTEM	09/27/20	Structure of the SARS-CoV-2 S 2P trimer in complex with the human neutralizing antibody Fab fragment, C002 (state 1)	SEVERE ACUTE RESPIRATORY SYNDROME CORONAVIRUS 2; HOMO SAPIENS	homo sapiens	homo sapiens	severe acute respiratory syndrome coronavirus2  | severe acute respiratory syndrome coronavirus2 	Barnes, C.O., Malyutin, A.G., Bjorkman, P.J.	3.8	ELECTRON MICROSCOPY	NA	NA	False	True	IGHV4	IGKV3	Kappa	None	None	None	None	None
7k8z	M	N	0	C	protein	NA	spike glycoprotein	VIRAL PROTEIN/IMMUNE SYSTEM	09/27/20	Structure of the SARS-CoV-2 S 2P trimer in complex with the human neutralizing antibody Fab fragment, C135	SEVERE ACUTE RESPIRATORY SYNDROME CORONAVIRUS 2; HOMO SAPIENS	homo sapiens	homo sapiens	severe acute respiratory syndrome coronavirus2 	Barnes, C.O., Bjorkman, P.J.	3.5	ELECTRON MICROSCOPY	NA	NA	False	True	IGHV3	IGKV1	Kappa	None	None	None	None	None
7k8z	H	L	0	A	protein	NA	spike glycoprotein	VIRAL PROTEIN/IMMUNE SYSTEM	09/27/20	Structure of the SARS-CoV-2 S 2P trimer in complex with the human neutralizing antibody Fab fragment, C135	SEVERE ACUTE RESPIRATORY SYNDROME CORONAVIRUS 2; HOMO SAPIENS	homo sapiens	homo sapiens	severe acute respiratory syndrome coronavirus2 	Barnes, C.O., Bjorkman, P.J.	3.5	ELECTRON MICROSCOPY	NA	NA	False	True	IGHV3	IGKV1	Kappa	None	None	None	None	None
6xe1	H	L	0	E	protein	NA	spike protein s1	VIRAL PROTEIN/IMMUNE SYSTEM	06/11/20	Structure of SARS-CoV-2 spike protein receptor binding domain in complex with a potent neutralizing antibody, CV30 Fab	HOMO SAPIENS; SEVERE ACUTE RESPIRATORY SYNDROME CORONAVIRUS 2	homo sapiens	homo sapiens	severe acute respiratory syndrome coronavirus2 	Hurlburt, N.K., Pancera, M.	2.75	X-RAY DIFFRACTION	0.239	0.212	False	True	IGHV3	IGKV3	Kappa	None	None	None	None	None
7mkm	H	L	0	A	protein	NA	spike protein s1	VIRAL PROTEIN/IMMUNE SYSTEM	05/12/21	SARS-CoV-2 Spike RBD in complex with neutralizing Fab SARS2-38 (local refinement)	SEVERE ACUTE RESPIRATORY SYNDROME CORONAVIRUS 2; MUS MUSCULUS	mus musculus	mus musculus	severe acute respiratory syndrome coronavirus2 	Adams, L.J., Fremont, D.H., Center for Structural Genomics of Infectious Diseases (CSGID)	3.16	ELECTRON MICROSCOPY	NA	NA	False	False	IGHV2	IGKV4	Kappa	None	None	None	None	None
7mkl	H	L	0	A	protein	NA	spike glycoprotein	VIRAL PROTEIN/IMMUNE SYSTEM	05/12/21	SARS-CoV-2 Spike in complex with neutralizing Fab SARS2-38 (three down conformation)	SEVERE ACUTE RESPIRATORY SYNDROME CORONAVIRUS 2; MUS MUSCULUS	mus musculus	mus musculus	severe acute respiratory syndrome coronavirus2 	Adams, L.J., Fremont, D.H.	3.2	ELECTRON MICROSCOPY	NA	NA	False	False	IGHV2	IGKV4	Kappa	None	None	None	None	None
6xey	J	K	0	C	protein	NA	sars-cov-2 spike glycoprotein	VIRAL PROTEIN/Immune System	06/14/20	Cryo-EM structure of the SARS-CoV-2 spike glycoprotein bound to Fab 2-4	SEVERE ACUTE RESPIRATORY SYNDROME CORONAVIRUS 2; HOMO SAPIENS	homo sapiens	homo sapiens	severe acute respiratory syndrome coronavirus2 	Rapp, M., Shapiro, L., Ho, D.D.	3.25	ELECTRON MICROSCOPY	NA	NA	False	True	IGHV1	IGLV2	Lambda	None	None	None	None	None
6xey	H	L	0	A	protein	NA	sars-cov-2 spike glycoprotein	VIRAL PROTEIN/Immune System	06/14/20	Cryo-EM structure of the SARS-CoV-2 spike glycoprotein bound to Fab 2-4	SEVERE ACUTE RESPIRATORY SYNDROME CORONAVIRUS 2; HOMO SAPIENS	homo sapiens	homo sapiens	severe acute respiratory syndrome coronavirus2 	Rapp, M., Shapiro, L., Ho, D.D.	3.25	ELECTRON MICROSCOPY	NA	NA	False	True	IGHV1	IGLV2	Lambda	None	None	None	None	None
6xey	F	G	0	B	protein	NA	sars-cov-2 spike glycoprotein	VIRAL PROTEIN/Immune System	06/14/20	Cryo-EM structure of the SARS-CoV-2 spike glycoprotein bound to Fab 2-4	SEVERE ACUTE RESPIRATORY SYNDROME CORONAVIRUS 2; HOMO SAPIENS	homo sapiens	homo sapiens	severe acute respiratory syndrome coronavirus2 	Rapp, M., Shapiro, L., Ho, D.D.	3.25	ELECTRON MICROSCOPY	NA	NA	False	True	IGHV1	IGLV2	Lambda	None	None	None	None	None
6zlr	B	C	0	A	protein	NA	unknown	VIRAL PROTEIN	01/08/09	Soaking competent crystal form of the SARS-CoV-2 Receptor Binding Domain (RBD):CR3022 complex.	SEVERE ACUTE RESPIRATORY SYNDROME CORONAVIRUS 2; HOMO SAPIENS				de Nicola, G.F., Nichols, C.E.	3.1	X-RAY DIFFRACTION	0.247	0.218	False	False	IGHV5	IGKV4	Kappa	None	None	None	None	None
6zlr	H	L	0	E	protein	NA	unknown	VIRAL PROTEIN	01/08/09	Soaking competent crystal form of the SARS-CoV-2 Receptor Binding Domain (RBD):CR3022 complex.	SEVERE ACUTE RESPIRATORY SYNDROME CORONAVIRUS 2; HOMO SAPIENS				de Nicola, G.F., Nichols, C.E.	3.1	X-RAY DIFFRACTION	0.247	0.218	False	False	IGHV5	IGKV4	Kappa	None	None	None	None	None
6zlr	F	G	0	D	protein	NA	unknown	VIRAL PROTEIN	01/08/09	Soaking competent crystal form of the SARS-CoV-2 Receptor Binding Domain (RBD):CR3022 complex.	SEVERE ACUTE RESPIRATORY SYNDROME CORONAVIRUS 2; HOMO SAPIENS				de Nicola, G.F., Nichols, C.E.	3.1	X-RAY DIFFRACTION	0.247	0.218	False	False	IGHV5	IGKV4	Kappa	None	None	None	None	None
7lcn	B	D	0	A	protein	NA	spike glycoprotein	IMMUNE SYSTEM	01/11/21	Structure of SARS-CoV-2 S protein in complex with N-terminal domain antibody DH1050.1	SEVERE ACUTE RESPIRATORY SYNDROME CORONAVIRUS 2; HOMO SAPIENS	homo sapiens	homo sapiens	severe acute respiratory syndrome coronavirus2 	Manne, K., Acharya, P.	3.35	ELECTRON MICROSCOPY	NA	NA	False	True	IGHV1	IGLV2	Lambda	None	None	None	None	None
7lcn	H	L	0	C	protein	NA	spike glycoprotein	IMMUNE SYSTEM	01/11/21	Structure of SARS-CoV-2 S protein in complex with N-terminal domain antibody DH1050.1	SEVERE ACUTE RESPIRATORY SYNDROME CORONAVIRUS 2; HOMO SAPIENS	homo sapiens	homo sapiens	severe acute respiratory syndrome coronavirus2 	Manne, K., Acharya, P.	3.35	ELECTRON MICROSCOPY	NA	NA	False	True	IGHV1	IGLV2	Lambda	None	None	None	None	None
7lcn	M	S	0	K	protein	NA	spike glycoprotein	IMMUNE SYSTEM	01/11/21	Structure of SARS-CoV-2 S protein in complex with N-terminal domain antibody DH1050.1	SEVERE ACUTE RESPIRATORY SYNDROME CORONAVIRUS 2; HOMO SAPIENS	homo sapiens	homo sapiens	severe acute respiratory syndrome coronavirus2 	Manne, K., Acharya, P.	3.35	ELECTRON MICROSCOPY	NA	NA	False	True	IGHV1	IGLV2	Lambda	None	None	None	None	None
7w9e	D	E	0	C	protein	NA	spike glycoprotein	VIRAL PROTEIN	01/12/22	SARS-CoV-2 Delta S-8D3	SEVERE ACUTE RESPIRATORY SYNDROME CORONAVIRUS 2; MUS MUSCULUS	mus musculus	mus musculus	severe acute respiratory syndrome coronavirus2 	Cong, Y., Liu, C.X.	3.1	ELECTRON MICROSCOPY	NA	NA	False	True	IGHV1	IGKV6	Kappa	None	None	None	None	None
7w9f	A	B	0	E	protein	NA	spike protein s1	VIRAL PROTEIN	01/12/22	SARS-CoV-2 Delta S-RBD-8D3	MUS MUSCULUS; SEVERE ACUTE RESPIRATORY SYNDROME CORONAVIRUS 2	mus musculus	mus musculus	severe acute respiratory syndrome coronavirus2 	Cong, Y., Liu, C.X.	3.6	ELECTRON MICROSCOPY	NA	NA	False	True	IGHV1	IGKV6	Kappa	None	None	None	None	None
4rgn	B	C	0	A	protein	NA	enterotoxin type b	TOXIN/IMMUNE SYSTEM	09/30/14	Structure of Staphylococcal Enterotoxin B bound to two neutralizing antibodies, 14G8 and 6D3	STAPHYLOCOCCUS AUREUS; MUS MUSCULUS	mus musculus	mus musculus	staphylococcus aureus	Franklin, M.C., Dutta, K., Varshney, A.K., Goger, M.J., Fries, B.C.	2.698	X-RAY DIFFRACTION	0.278	0.240	False	False	IGHV5	IGKV5	Kappa	None	None	None	None	None
4rgn	D	E	0	A	protein	NA	enterotoxin type b	TOXIN/IMMUNE SYSTEM	09/30/14	Structure of Staphylococcal Enterotoxin B bound to two neutralizing antibodies, 14G8 and 6D3	STAPHYLOCOCCUS AUREUS; MUS MUSCULUS	mus musculus	mus musculus	staphylococcus aureus	Franklin, M.C., Dutta, K., Varshney, A.K., Goger, M.J., Fries, B.C.	2.698	X-RAY DIFFRACTION	0.278	0.240	False	False	IGHV1	IGKV8	Kappa	None	None	None	None	None
4rgn	H	L	0	S	protein	NA	enterotoxin type b	TOXIN/IMMUNE SYSTEM	09/30/14	Structure of Staphylococcal Enterotoxin B bound to two neutralizing antibodies, 14G8 and 6D3	STAPHYLOCOCCUS AUREUS; MUS MUSCULUS	mus musculus	mus musculus	staphylococcus aureus	Franklin, M.C., Dutta, K., Varshney, A.K., Goger, M.J., Fries, B.C.	2.698	X-RAY DIFFRACTION	0.278	0.240	False	False	IGHV5	IGKV5	Kappa	None	None	None	None	None
4rgn	F	G	0	S	protein	NA	enterotoxin type b	TOXIN/IMMUNE SYSTEM	09/30/14	Structure of Staphylococcal Enterotoxin B bound to two neutralizing antibodies, 14G8 and 6D3	STAPHYLOCOCCUS AUREUS; MUS MUSCULUS	mus musculus	mus musculus	staphylococcus aureus	Franklin, M.C., Dutta, K., Varshney, A.K., Goger, M.J., Fries, B.C.	2.698	X-RAY DIFFRACTION	0.278	0.240	False	False	IGHV1	IGKV8	Kappa	None	None	None	None	None
7f62	H	L	0	A	protein	NA	spike glycoprotein	VIRAL PROTEIN	08/04/21	Cryo-EM structure of SARS-CoV-2 spike in complex with a neutralizing antibody chAb-25 (Focused refinement of S-RBD and chAb-25 region)	SEVERE ACUTE RESPIRATORY SYNDROME CORONAVIRUS 2; HOMO SAPIENS	homo sapiens	homo sapiens	severe acute respiratory syndrome coronavirus2 	Yang, T.J., Yu, P.Y., Wu, H.C., Hsu, S.T.D.	3.6	ELECTRON MICROSCOPY	NA	NA	False	True	IGHV5	IGKV4	Kappa	None	None	None	None	None
2dd8	H	L	0	S	protein	NA	spike glycoprotein	IMMUNE SYSTEM/VIRAL PROTEIN	01/24/06	Crystal Structure of SARS-CoV Spike Receptor-Binding Domain Complexed with Neutralizing Antibody	HOMO SAPIENS; SARS CORONAVIRUS	homo sapiens	homo sapiens	sars coronavirus	Prabakaran, P., Gan, J.H., Feng, Y., Zhu, Z.Y., Xiao, X.D., Ji, X., Dimitrov, D.S.	2.3	X-RAY DIFFRACTION	0.261	0.19899999999999998	False	True	IGHV1	IGLV3	Lambda	2.00e-08	-10.5	SPR	25	16597622
7e88	G	H	0	I	protein	NA	spike protein s1	VIRAL PROTEIN,IMMUNE SYSTEM	06/09/21	Crystal structure of the SARS-CoV-2 S RBD in complex with BD-515 Fab	HOMO SAPIENS; SEVERE ACUTE RESPIRATORY SYNDROME CORONAVIRUS 2	homo sapiens	homo sapiens	severe acute respiratory syndrome coronavirus2 	Gao, C., Wei, Y., Xiao, J.	3.14	X-RAY DIFFRACTION	0.255	0.217	False	True	IGHV3	IGKV1	Kappa	None	None	None	None	None
7e88	A	B	0	C	protein	NA	spike protein s1	VIRAL PROTEIN,IMMUNE SYSTEM	06/09/21	Crystal structure of the SARS-CoV-2 S RBD in complex with BD-515 Fab	HOMO SAPIENS; SEVERE ACUTE RESPIRATORY SYNDROME CORONAVIRUS 2	homo sapiens	homo sapiens	severe acute respiratory syndrome coronavirus2 	Gao, C., Wei, Y., Xiao, J.	3.14	X-RAY DIFFRACTION	0.255	0.217	False	True	IGHV3	IGKV1	Kappa	None	None	None	None	None
7e88	J	K	0	L	protein	NA	spike protein s1	VIRAL PROTEIN,IMMUNE SYSTEM	06/09/21	Crystal structure of the SARS-CoV-2 S RBD in complex with BD-515 Fab	HOMO SAPIENS; SEVERE ACUTE RESPIRATORY SYNDROME CORONAVIRUS 2	homo sapiens	homo sapiens	severe acute respiratory syndrome coronavirus2 	Gao, C., Wei, Y., Xiao, J.	3.14	X-RAY DIFFRACTION	0.255	0.217	False	True	IGHV3	IGKV1	Kappa	None	None	None	None	None
7e88	D	E	0	F	protein	NA	spike protein s1	VIRAL PROTEIN,IMMUNE SYSTEM	06/09/21	Crystal structure of the SARS-CoV-2 S RBD in complex with BD-515 Fab	HOMO SAPIENS; SEVERE ACUTE RESPIRATORY SYNDROME CORONAVIRUS 2	homo sapiens	homo sapiens	severe acute respiratory syndrome coronavirus2 	Gao, C., Wei, Y., Xiao, J.	3.14	X-RAY DIFFRACTION	0.255	0.217	False	True	IGHV3	IGKV1	Kappa	None	None	None	None	None
7e86	A	B	0	C	protein	NA	spike protein s1	VIRAL PROTEIN,IMMUNE SYSTEM	06/09/21	Crystal structure of the SARS-CoV-2 S RBD in complex with BD-508 Fab	SEVERE ACUTE RESPIRATORY SYNDROME CORONAVIRUS 2; HOMO SAPIENS	homo sapiens	homo sapiens	severe acute respiratory syndrome coronavirus2 	Gao, C., Xiao, J.	2.9	X-RAY DIFFRACTION	0.255	0.196	False	True	IGHV3	IGKV1	Kappa	None	None	None	None	None
7mm0	H	L	0	A	protein	NA	spike glycoprotein	IMMUNE SYSTEM/VIRAL PROTEIN	07/28/21	Cryo-EM structure of SARS-CoV-2 spike in complex with neutralizing antibody B1-182.1 that targets the receptor-binding domain	HOMO SAPIENS; SEVERE ACUTE RESPIRATORY SYNDROME CORONAVIRUS 2	homo sapiens	homo sapiens	severe acute respiratory syndrome coronavirus2 	Zhou, T., Tsybovsky, T., Kwong, P.D.	3.15	ELECTRON MICROSCOPY	NA	NA	False	True	IGHV1	IGKV3	Kappa	None	None	None	None	None
6xc3	H	L	0	C	protein	NA	spike protein s1	IMMUNE SYSTEM/VIRAL PROTEIN	06/08/20	Crystal structure of SARS-CoV-2 receptor binding domain in complex with antibodies CC12.1 and CR3022	HOMO SAPIENS; SEVERE ACUTE RESPIRATORY SYNDROME CORONAVIRUS 2	homo sapiens	homo sapiens	severe acute respiratory syndrome coronavirus2 	Yuan, M., Liu, H., Wu, N.C., Zhu, X., Wilson, I.A.	2.698	X-RAY DIFFRACTION	0.225	0.177	False	True	IGHV5	IGKV4	Kappa	None	None	None	None	None
6xc3	B	A	0	C	protein	NA	spike protein s1	IMMUNE SYSTEM/VIRAL PROTEIN	06/08/20	Crystal structure of SARS-CoV-2 receptor binding domain in complex with antibodies CC12.1 and CR3022	HOMO SAPIENS; SEVERE ACUTE RESPIRATORY SYNDROME CORONAVIRUS 2	homo sapiens	homo sapiens	severe acute respiratory syndrome coronavirus2 	Yuan, M., Liu, H., Wu, N.C., Zhu, X., Wilson, I.A.	2.698	X-RAY DIFFRACTION	0.225	0.177	False	True	IGHV3	IGKV1	Kappa	None	None	None	None	None
